employee_id,department,role,age,tenure_years,salary,comp_ratio,satisfaction,performance,engagement
1,Operations,Plant Operator,52,11.7,106911.0,1.34,1.94,2.29,3.88
2,Operations,Operations Manager,53,0.5,69727.0,0.89,4.12,3.25,4.48
3,Operations,Shift Supervisor,39,0.8,79496.0,0.92,4.2,3.17,3.69
4,Operations,Operations Manager,36,9.2,94518.0,1.12,3.22,3.57,4.02
5,Operations,Shift Supervisor,28,3.4,98772.0,1.18,3.09,2.63,4.17
6,Operations,Operations Manager,29,1.7,72567.0,0.84,4.02,3.72,4.13
7,Operations,Operations Manager,55,6.8,91111.0,1.12,4.2,3.36,4.21
8,Operations,Field Operator,22,0.8,81617.0,0.92,3.24,2.87,3.42
9,Operations,Plant Operator,27,0.6,69965.0,0.9,2.15,2.97,3.9
10,Operations,Shift Supervisor,44,5.2,92689.0,1.11,3.13,3.8,3.69
11,Operations,Field Operator,56,1.7,71840.0,0.9,3.61,3.68,3.54
12,Operations,Shift Supervisor,53,6.6,87462.0,1.08,2.97,2.95,3.57
13,Operations,Operations Manager,50,2.2,76526.0,0.93,3.88,3.51,4.2
14,Operations,Plant Operator,37,1.0,76659.0,0.84,2.34,2.27,3.2
15,Operations,Control Room Technician,58,15.4,106841.0,1.36,3.21,3.72,3.24
16,Operations,Operations Manager,32,1.1,74922.0,0.95,2.12,3.5,3.94
17,Operations,Shift Supervisor,29,3.4,83241.0,0.98,3.69,3.22,4.76
18,Operations,Plant Operator,47,0.6,77737.0,0.95,4.59,3.78,4.01
19,Operations,Operations Manager,26,13.6,100907.0,1.18,3.19,2.24,4.18
20,Operations,Control Room Technician,22,27.2,128489.0,1.57,4.17,4.6,5.0
21,Operations,Shift Supervisor,59,2.3,64219.0,0.79,2.85,2.91,3.43
22,Operations,Control Room Technician,22,7.9,94037.0,1.13,2.67,2.03,3.51
23,Operations,Plant Operator,33,3.3,95782.0,1.17,4.29,2.85,3.09
24,Operations,Control Room Technician,23,2.2,95951.0,1.12,4.17,2.57,4.36
25,Operations,Operations Manager,33,10.7,98697.0,1.16,3.86,2.88,3.06
26,Operations,Field Operator,61,4.8,97551.0,1.19,3.41,3.4,4.58
27,Operations,Plant Operator,52,14.1,115061.0,1.42,4.73,3.33,3.07
28,Operations,Field Operator,31,0.7,89506.0,1.08,3.19,4.22,3.14
29,Operations,Control Room Technician,34,2.2,77037.0,0.93,3.37,3.44,4.64
30,Operations,Control Room Technician,27,10.3,82883.0,1.0,2.83,2.35,3.27
31,Operations,Field Operator,54,3.8,73643.0,0.89,3.11,2.97,4.4
32,Operations,Shift Supervisor,48,5.8,86825.0,1.02,3.32,3.37,3.91
33,Operations,Field Operator,26,1.2,79409.0,1.09,5.0,2.6,3.63
34,Operations,Shift Supervisor,40,21.5,125773.0,1.58,2.92,2.74,2.51
35,Operations,Control Room Technician,43,12.4,98873.0,1.15,3.42,1.97,2.92
36,Operations,Shift Supervisor,31,5.1,78314.0,1.04,5.0,2.38,3.58
37,Operations,Control Room Technician,27,2.4,72898.0,0.87,4.12,3.5,3.57
38,Operations,Shift Supervisor,28,2.5,78937.0,0.94,3.69,2.81,4.08
39,Operations,Shift Supervisor,49,3.5,85430.0,1.04,3.5,2.69,3.99
40,Operations,Shift Supervisor,29,2.5,96283.0,1.25,3.81,2.67,3.13
41,Operations,Plant Operator,55,0.5,79726.0,0.88,4.24,3.52,3.13
42,Operations,Control Room Technician,54,6.9,90938.0,1.09,3.42,3.02,3.89
43,Operations,Field Operator,56,3.8,81855.0,1.0,3.74,2.94,2.75
44,Operations,Plant Operator,38,0.6,64761.0,0.83,3.24,3.16,3.17
45,Operations,Control Room Technician,33,5.8,92494.0,1.21,4.44,3.51,4.85
46,Operations,Shift Supervisor,48,4.8,83508.0,1.02,2.94,3.89,3.09
47,Operations,Shift Supervisor,49,15.5,110469.0,1.4,4.1,4.47,4.24
48,Operations,Shift Supervisor,59,0.9,68247.0,0.8,4.71,3.65,3.38
49,Operations,Field Operator,59,3.7,74201.0,0.87,3.75,4.01,4.17
50,Operations,Shift Supervisor,40,5.0,86754.0,1.07,4.79,1.76,3.45
51,Operations,Field Operator,26,2.7,92188.0,1.14,4.18,2.8,4.29
52,Operations,Operations Manager,35,4.7,87438.0,1.07,2.81,3.1,3.71
53,Operations,Field Operator,27,15.5,102015.0,1.23,4.69,2.68,3.31
54,Operations,Control Room Technician,53,2.4,80554.0,1.04,4.19,3.79,4.13
55,Operations,Control Room Technician,56,17.5,99270.0,1.28,3.13,3.28,4.59
56,Operations,Operations Manager,55,11.4,88566.0,1.03,3.85,3.57,3.97
57,Operations,Shift Supervisor,26,2.1,83276.0,1.04,3.61,3.73,3.94
