employee_id,month,department,age,tenure_years,comp_ratio,satisfaction,performance,engagement,bls_energy_index,attrition
1,0,InvestmentBanking,52,11.7,1.34,1.94,2.29,3.88,99.92,0
2,0,InvestmentBanking,53,0.5,0.89,4.12,3.25,4.48,99.92,0
3,0,InvestmentBanking,39,0.8,0.92,4.2,3.17,3.69,99.92,0
4,0,InvestmentBanking,36,9.2,1.12,3.22,3.57,4.02,99.92,0
5,0,InvestmentBanking,28,3.4,1.18,3.09,2.63,4.17,99.92,0
6,0,InvestmentBanking,29,1.7,0.84,4.02,3.72,4.13,99.92,0
7,0,InvestmentBanking,55,6.8,1.12,4.2,3.36,4.21,99.92,0
8,0,InvestmentBanking,22,0.8,0.92,3.24,2.87,3.42,99.92,0
9,0,InvestmentBanking,27,0.6,0.9,2.15,2.97,3.9,99.92,0
10,0,InvestmentBanking,44,5.2,1.11,3.13,3.8,3.69,99.92,0
11,0,InvestmentBanking,56,1.7,0.9,3.61,3.68,3.54,99.92,0
12,0,InvestmentBanking,53,6.6,1.08,2.97,2.95,3.57,99.92,0
13,0,InvestmentBanking,50,2.2,0.93,3.88,3.51,4.2,99.92,0
14,0,InvestmentBanking,37,1.0,0.84,2.34,2.27,3.2,99.92,0
15,0,InvestmentBanking,58,15.4,1.36,3.21,3.72,3.24,99.92,0
16,0,InvestmentBanking,32,1.1,0.95,2.12,3.5,3.94,99.92,0
17,0,InvestmentBanking,29,3.4,0.98,3.69,3.22,4.76,99.92,0
18,0,InvestmentBanking,47,0.6,0.95,4.59,3.78,4.01,99.92,0
19,0,InvestmentBanking,26,13.6,1.18,3.19,2.24,4.18,99.92,0
20,0,InvestmentBanking,22,27.2,1.57,4.17,4.6,5.0,99.92,0
21,0,InvestmentBanking,59,2.3,0.79,2.85,2.91,3.43,99.92,0
22,0,InvestmentBanking,22,7.9,1.13,2.67,2.03,3.51,99.92,0
23,0,InvestmentBanking,33,3.3,1.17,4.29,2.85,3.09,99.92,0
24,0,InvestmentBanking,23,2.2,1.12,4.17,2.57,4.36,99.92,0
25,0,InvestmentBanking,33,10.7,1.16,3.86,2.88,3.06,99.92,0
26,0,InvestmentBanking,61,4.8,1.19,3.41,3.4,4.58,99.92,0
27,0,InvestmentBanking,52,14.1,1.42,4.73,3.33,3.07,99.92,0
28,0,InvestmentBanking,31,0.7,1.08,3.19,4.22,3.14,99.92,0
29,0,InvestmentBanking,34,2.2,0.93,3.37,3.44,4.64,99.92,0
30,0,InvestmentBanking,27,10.3,1.0,2.83,2.35,3.27,99.92,0
31,0,InvestmentBanking,54,3.8,0.89,3.11,2.97,4.4,99.92,0
32,0,InvestmentBanking,48,5.8,1.02,3.32,3.37,3.91,99.92,0
33,0,InvestmentBanking,26,1.2,1.09,5.0,2.6,3.63,99.92,0
34,0,InvestmentBanking,40,21.5,1.58,2.92,2.74,2.51,99.92,0
35,0,InvestmentBanking,43,12.4,1.15,3.42,1.97,2.92,99.92,0
36,0,EquityResearch,31,5.1,1.04,5.0,2.38,3.58,99.92,0
37,0,EquityResearch,27,2.4,0.87,4.12,3.5,3.57,99.92,0
38,0,EquityResearch,28,2.5,0.94,3.69,2.81,4.08,99.92,0
