month,department,headcount,departures,avg_tenure,avg_satisfaction,avg_comp_ratio,avg_engagement,bls_energy_index
0,InvestmentBanking,35,0,6.3,3.45,1.08,3.79,99.92
0,EquityResearch,24,1,5.4,3.88,1.04,3.7,99.92
0,Risk,40,0,6.2,3.33,1.05,3.82,99.92
0,Compliance,36,1,5.8,3.65,1.08,3.62,99.92
0,WealthManagement,47,5,4.9,3.28,1.04,3.87,99.92
0,RetailBanking,59,1,4.5,3.49,1.02,3.73,99.92
0,Fintech,30,2,5.2,3.42,1.01,3.81,99.92
0,Operations,30,1,4.6,3.48,1.02,3.92,99.92
1,InvestmentBanking,34,1,6.4,3.42,1.08,3.78,100.15
1,EquityResearch,23,1,5.5,3.89,1.05,3.67,100.15
1,Risk,40,1,6.3,3.31,1.05,3.85,100.15
1,Compliance,38,0,5.6,3.65,1.07,3.62,100.15
1,WealthManagement,46,2,4.8,3.3,1.04,3.85,100.15
1,RetailBanking,56,3,4.8,3.46,1.04,3.73,100.15
1,Fintech,30,0,5.3,3.43,1.01,3.81,100.15
1,Operations,32,0,4.4,3.48,1.03,3.91,100.15
2,InvestmentBanking,34,1,6.4,3.42,1.08,3.77,100.67
2,EquityResearch,22,1,5.8,3.95,1.06,3.73,100.67
2,Risk,40,1,6.3,3.29,1.06,3.84,100.67
2,Compliance,37,2,5.7,3.76,1.07,3.67,100.67
2,WealthManagement,45,1,5.0,3.33,1.05,3.85,100.67
2,RetailBanking,56,0,4.9,3.46,1.04,3.73,100.67
2,Fintech,30,1,5.3,3.39,1.02,3.79,100.67
2,Operations,32,0,4.5,3.48,1.03,3.91,100.67
3,InvestmentBanking,35,1,6.3,3.37,1.08,3.73,100.93
3,EquityResearch,22,1,5.7,3.98,1.06,3.7,100.93
3,Risk,40,0,6.4,3.3,1.06,3.84,100.93
3,Compliance,37,1,5.6,3.65,1.07,3.69,100.93
3,WealthManagement,45,1,4.9,3.32,1.05,3.86,100.93
3,RetailBanking,54,3,5.0,3.49,1.04,3.77,100.93
3,Fintech,28,2,4.6,3.42,1.0,3.83,100.93
3,Operations,33,1,4.4,3.53,1.02,3.92,100.93
4,InvestmentBanking,33,3,6.4,3.43,1.09,3.78,101.66
4,EquityResearch,22,1,5.6,3.93,1.05,3.66,101.66
4,Risk,41,0,6.4,3.29,1.06,3.81,101.66
4,Compliance,35,2,5.6,3.66,1.06,3.67,101.66
4,WealthManagement,45,1,5.0,3.27,1.05,3.85,101.66
4,RetailBanking,52,3,5.1,3.5,1.05,3.79,101.66
4,Fintech,28,0,4.8,3.42,1.0,3.83,101.66
4,Operations,34,1,4.2,3.53,1.02,3.96,101.66
5,InvestmentBanking,33,1,6.4,3.44,1.09,3.8,101.71
5,EquityResearch,24,0,5.3,3.96,1.03,3.68,101.71
5,Risk,42,0,6.3,3.29,1.06,3.81,101.71
5,Compliance,32,2,6.0,3.59,1.07,3.72,101.71
5,WealthManagement,45,0,5.1,3.27,1.05,3.85,101.71
5,RetailBanking,53,0,5.1,3.5,1.05,3.81,101.71
5,Fintech,26,2,5.1,3.39,1.03,3.88,101.71
5,Operations,31,4,4.2,3.48,1.02,3.95,101.71
6,InvestmentBanking,33,0,6.5,3.44,1.09,3.8,101.65
6,EquityResearch,22,2,5.5,3.89,1.03,3.72,101.65
6,Risk,42,1,6.3,3.35,1.05,3.8,101.65
