employee_id,month,department,age,tenure_years,comp_ratio,satisfaction,performance,engagement,bls_energy_index,attrition
1,0,Operations,52,11.7,1.34,1.94,2.29,3.88,99.2,0
2,0,Operations,53,0.5,0.89,4.12,3.25,4.48,99.2,0
3,0,Operations,39,0.8,0.92,4.2,3.17,3.69,99.2,0
4,0,Operations,36,9.2,1.12,3.22,3.57,4.02,99.2,0
5,0,Operations,28,3.4,1.18,3.09,2.63,4.17,99.2,0
6,0,Operations,29,1.7,0.84,4.02,3.72,4.13,99.2,0
7,0,Operations,55,6.8,1.12,4.2,3.36,4.21,99.2,0
8,0,Operations,22,0.8,0.92,3.24,2.87,3.42,99.2,0
9,0,Operations,27,0.6,0.9,2.15,2.97,3.9,99.2,0
10,0,Operations,44,5.2,1.11,3.13,3.8,3.69,99.2,0
11,0,Operations,56,1.7,0.9,3.61,3.68,3.54,99.2,0
12,0,Operations,53,6.6,1.08,2.97,2.95,3.57,99.2,0
13,0,Operations,50,2.2,0.93,3.88,3.51,4.2,99.2,0
14,0,Operations,37,1.0,0.84,2.34,2.27,3.2,99.2,0
15,0,Operations,58,15.4,1.36,3.21,3.72,3.24,99.2,0
16,0,Operations,32,1.1,0.95,2.12,3.5,3.94,99.2,0
17,0,Operations,29,3.4,0.98,3.69,3.22,4.76,99.2,0
18,0,Operations,47,0.6,0.95,4.59,3.78,4.01,99.2,0
19,0,Operations,26,13.6,1.18,3.19,2.24,4.18,99.2,0
20,0,Operations,22,27.2,1.57,4.17,4.6,5.0,99.2,0
21,0,Operations,59,2.3,0.79,2.85,2.91,3.43,99.2,0
22,0,Operations,22,7.9,1.13,2.67,2.03,3.51,99.2,0
23,0,Operations,33,3.3,1.17,4.29,2.85,3.09,99.2,0
24,0,Operations,23,2.2,1.12,4.17,2.57,4.36,99.2,0
25,0,Operations,33,10.7,1.16,3.86,2.88,3.06,99.2,0
26,0,Operations,61,4.8,1.19,3.41,3.4,4.58,99.2,0
27,0,Operations,52,14.1,1.42,4.73,3.33,3.07,99.2,0
28,0,Operations,31,0.7,1.08,3.19,4.22,3.14,99.2,0
29,0,Operations,34,2.2,0.93,3.37,3.44,4.64,99.2,0
30,0,Operations,27,10.3,1.0,2.83,2.35,3.27,99.2,0
31,0,Operations,54,3.8,0.89,3.11,2.97,4.4,99.2,0
32,0,Operations,48,5.8,1.02,3.32,3.37,3.91,99.2,0
33,0,Operations,26,1.2,1.09,5.0,2.6,3.63,99.2,0
34,0,Operations,40,21.5,1.58,2.92,2.74,2.51,99.2,0
35,0,Operations,43,12.4,1.15,3.42,1.97,2.92,99.2,0
36,0,Operations,31,5.1,1.04,5.0,2.38,3.58,99.2,0
37,0,Operations,27,2.4,0.87,4.12,3.5,3.57,99.2,0
38,0,Operations,28,2.5,0.94,3.69,2.81,4.08,99.2,0
39,0,Operations,49,3.5,1.04,3.5,2.69,3.99,99.2,0
40,0,Operations,29,2.5,1.25,3.81,2.67,3.13,99.2,0
41,0,Operations,55,0.5,0.88,4.24,3.52,3.13,99.2,0
42,0,Operations,54,6.9,1.09,3.42,3.02,3.89,99.2,0
43,0,Operations,56,3.8,1.0,3.74,2.94,2.75,99.2,0
44,0,Operations,38,0.6,0.83,3.24,3.16,3.17,99.2,0
45,0,Operations,33,5.8,1.21,4.44,3.51,4.85,99.2,0
46,0,Operations,48,4.8,1.02,2.94,3.89,3.09,99.2,0
47,0,Operations,49,15.5,1.4,4.1,4.47,4.24,99.2,0
48,0,Operations,59,0.9,0.8,4.71,3.65,3.38,99.2,0
49,0,Operations,59,3.7,0.87,3.75,4.01,4.17,99.2,0
50,0,Operations,40,5.0,1.07,4.79,1.76,3.45,99.2,0
51,0,Operations,26,2.7,1.14,4.18,2.8,4.29,99.2,0
52,0,Operations,35,4.7,1.07,2.81,3.1,3.71,99.2,0
53,0,Operations,27,15.5,1.23,4.69,2.68,3.31,99.2,0
54,0,Operations,53,2.4,1.04,4.19,3.79,4.13,99.2,0
55,0,Operations,56,17.5,1.28,3.13,3.28,4.59,99.2,0
56,0,Operations,55,11.4,1.03,3.85,3.57,3.97,99.2,0
57,0,Operations,26,2.1,1.04,3.61,3.73,3.94,99.2,0
58,0,Operations,23,1.6,0.95,4.16,2.92,4.11,99.2,0
59,0,Operations,23,0.5,0.9,2.46,2.16,2.4,99.2,0
60,0,Operations,24,7.8,1.11,4.37,4.13,3.76,99.2,0
61,0,Operations,26,2.3,1.1,2.83,2.78,2.91,99.2,0
62,0,Operations,29,7.4,1.27,2.39,3.47,3.18,99.2,0
63,0,Operations,23,21.4,1.37,3.02,2.83,3.16,99.2,0
64,0,Operations,40,4.4,1.03,3.79,4.12,3.59,99.2,0
